Input,Reading_level,Output
The narrow hallway became peaceful and still as the sun disappeared behind the trees.,Very Simple,The narrow hallway became peaceful and still as the sun went behind the trees.
The narrow hallway became peaceful and still as the sun disappeared behind the trees.,Moderate,The narrow hallway became peaceful and still as the sun disappeared behind the trees.
The narrow hallway became cold and unfamiliar as a strong wind moved through the air.,Light,The small hallway felt cold and strange. Wind blew.
The narrow hallway became cold and unfamiliar as a strong wind moved through the air.,Very Simple,The narrow hallway became cold and unfamiliar as a strong wind blew through the air.
The narrow hallway became cold and unfamiliar as a strong wind moved through the air.,Moderate,The narrow hallway became cold and unfamiliar as a strong wind moved through the air.
The narrow hallway became mysterious and quiet as a small light flickered in the distance.,Light,The small hallway felt secret and quiet. A little light blinked far away.
The narrow hallway became mysterious and quiet as a small light flickered in the distance.,Very Simple,The narrow hallway became mysterious and quiet as a small light blinked far away.
The narrow hallway became mysterious and quiet as a small light flickered in the distance.,Moderate,The narrow hallway became mysterious and quiet as a small light flickered in the distance.
The narrow hallway became dark and gloomy as heavy clouds covered the sky.,Light,The small hallway felt dark and sad. Big clouds covered the sky.
The narrow hallway became dark and gloomy as heavy clouds covered the sky.,Very Simple,The narrow hallway became dark and gloomy as heavy clouds covered the sky.
The narrow hallway became dark and gloomy as heavy clouds covered the sky.,Moderate,The narrow hallway became dark and gloomy as heavy clouds covered the sky.
The narrow hallway became warm and welcoming as soft music played from inside.,Light,The small hallway felt warm and nice. Soft music played.
The narrow hallway became warm and welcoming as soft music played from inside.,Very Simple,The narrow hallway became warm and welcoming as soft music played inside.
The narrow hallway became warm and welcoming as soft music played from inside.,Moderate,The narrow hallway became warm and welcoming as soft music played from inside.
The empty classroom became unusually silent as rain tapped against the windows.,Light,The empty classroom felt quiet. Rain hit the windows.
The empty classroom became unusually silent as rain tapped against the windows.,Very Simple,The empty classroom became strangely quiet as rain tapped on the windows.
The empty classroom became unusually silent as rain tapped against the windows.,Moderate,The empty classroom became unusually silent as rain tapped against the windows.
The empty classroom became strangely tense as footsteps echoed nearby.,Light,The empty classroom felt not calm. Feet made sounds nearby.
The empty classroom became strangely tense as footsteps echoed nearby.,Very Simple,The empty classroom became tense as footsteps sounded nearby.
The empty classroom became strangely tense as footsteps echoed nearby.,Moderate,The empty classroom became strangely tense as footsteps echoed nearby.
The empty classroom became peaceful and still as the sun disappeared behind the trees.,Light,The empty classroom felt calm and quiet. The sun went down.
The empty classroom became peaceful and still as the sun disappeared behind the trees.,Very Simple,The empty classroom became peaceful and still as the sun went behind the trees.
The empty classroom became peaceful and still as the sun disappeared behind the trees.,Moderate,The empty classroom became peaceful and still as the sun disappeared behind the trees.
The empty classroom became cold and unfamiliar as a strong wind moved through the air.,Light,The empty classroom felt cold and strange. Wind blew.
The empty classroom became cold and unfamiliar as a strong wind moved through the air.,Very Simple,The empty classroom became cold and unfamiliar as a strong wind blew through the air.
The empty classroom became cold and unfamiliar as a strong wind moved through the air.,Moderate,The empty classroom became cold and unfamiliar as a strong wind moved through the air.
The empty classroom became mysterious and quiet as a small light flickered in the distance.,Light,The empty classroom felt secret and quiet. A little light blinked far away.
The empty classroom became mysterious and quiet as a small light flickered in the distance.,Very Simple,The empty classroom became mysterious and quiet as a small light blinked far away.
The empty classroom became mysterious and quiet as a small light flickered in the distance.,Moderate,The empty classroom became mysterious and quiet as a small light flickered in the distance.
